source,package,is_test,result,start,ccache_s,gap_before_s,wall_s,o_mtime_gap_s,c_bytes
module.numpy.random.tests.test_seed_sequence.c,numpy,True,cache_miss,2026-09-23T12:37:07.215783,4.133,0.068,4.201,4.195,177536
module.numpy.random.tests.test_smoke.c,numpy,True,cache_miss,2026-09-23T12:37:11.422374,16.034,0.074,16.107,16.104,2262888
module.numpy.rec.c,numpy,False,cache_miss,2026-09-23T12:37:27.516808,3.087,0.061,3.148,3.151,42964
module.numpy.strings.c,numpy,False,cache_miss,2026-09-23T12:37:30.666573,3.035,0.062,3.098,3.101,43380
module.numpy.tests.c,numpy,True,cache_miss,2026-09-23T12:37:33.756410,3.005,0.055,3.060,3.047,36463
module.numpy.tests.test__all__.c,numpy,True,cache_miss,2026-09-23T12:37:36.811208,3.259,0.049,3.308,3.314,57634
module.numpy.tests.test_configtool.c,numpy,True,cache_miss,2026-09-23T12:37:40.124834,3.778,0.055,3.833,3.845,204039
module.numpy.tests.test_ctypeslib.c,numpy,True,cache_miss,2026-09-23T12:37:43.977909,7.873,0.075,7.947,7.951,922453
module.numpy.tests.test_lazyloading.c,numpy,True,cache_miss,2026-09-23T12:37:51.913363,3.110,0.063,3.173,3.161,64300
module.numpy.tests.test_matlib.c,numpy,True,cache_miss,2026-09-23T12:37:55.085554,3.664,0.062,3.726,3.745,178806
module.numpy.tests.test_numpy_config.c,numpy,True,cache_miss,2026-09-23T12:37:58.810249,3.775,0.060,3.836,3.824,160231
module.numpy.tests.test_numpy_version.c,numpy,True,cache_miss,2026-09-23T12:38:02.647007,3.402,0.061,3.463,3.456,96104
module.numpy.tests.test_public_api.c,numpy,True,cache_miss,2026-09-23T12:38:06.112598,7.551,0.064,7.615,7.607,856332
module.numpy.tests.test_reloading.c,numpy,True,cache_miss,2026-09-23T12:38:13.727292,3.912,0.064,3.976,3.976,186040
module.numpy.tests.test_scripts.c,numpy,True,cache_miss,2026-09-23T12:38:17.698598,3.346,0.059,3.405,3.412,120613
module.numpy.tests.test_warnings.c,numpy,True,cache_miss,2026-09-23T12:38:21.100643,4.309,0.056,4.365,4.377,250540
module.numpy.typing.c,numpy,False,cache_miss,2026-09-23T12:38:25.463496,3.404,0.054,3.458,3.448,121120
module.numpy.typing.mypy_plugin.c,numpy,False,cache_miss,2026-09-23T12:38:28.934358,4.996,0.067,5.063,5.064,410788
module.numpy.typing.tests.c,numpy,True,cache_miss,2026-09-23T12:38:33.990877,3.017,0.061,3.078,3.093,41680
module.numpy.typing.tests.data.c,numpy,True,cache_miss,2026-09-23T12:38:37.065826,3.018,0.058,3.076,3.066,37017
module.numpy.typing.tests.data.pass.arithmetic.c,numpy,True,cache_miss,2026-09-23T12:38:40.151374,7.430,0.068,7.498,7.485,850249
module.numpy.typing.tests.data.pass.array_constructors.c,numpy,True,cache_miss,2026-09-23T12:38:47.648418,5.227,0.067,5.294,5.291,335174
module.numpy.typing.tests.data.pass.array_like.c,numpy,True,cache_miss,2026-09-23T12:38:52.930731,3.693,0.056,3.749,3.750,161221
module.numpy.typing.tests.data.pass.arrayprint.c,numpy,True,cache_miss,2026-09-23T12:38:56.685669,3.232,0.062,3.294,3.302,70415
module.numpy.typing.tests.data.pass.arrayterator.c,numpy,True,cache_miss,2026-09-23T12:38:59.976509,3.150,0.059,3.208,3.213,68629
